name,bound_xmin,bound_ymin,bound_xmax,bound_ymax,reprojected_bound_xmin,reprojected_bound_ymin,reprojected_bound_xmax,reprojected_bound_ymax
EPSG:3762: WGS 84 / South Georgia Lambert,-42.1000,-55.2200,-34.6300,-53.5000,-338167.8601,-36231.3530,157256.1565,164322.0601
EPSG:3763: ETRS89 / Portugal TM06,-9.5000,37.0100,-6.1900,42.1500,-121656.5849,-294200.8899,172945.8815,277430.8421
EPSG:3764: NZGD2000 / Chatham Island Circuit 2000,-178.0000,-45.0000,-175.0000,-43.0000,277687.5482,687783.1556,522312.4518,910010.4312
EPSG:3765: HTRS96 / Croatia TM,13.4700,42.3900,19.5000,46.5700,250515.0793,4698849.3024,747014.5638,5163391.4419
EPSG:3766: HTRS96 / Croatia LCC,13.0200,42.3000,19.5000,46.5700,-286997.6531,5172974.1032,247430.9705,5648564.1259
EPSG:3767: HTRS96 / UTM zone 33N,13.4700,42.5000,18.0000,46.5700,374284.4873,4706427.2160,746508.3938,5161754.3391
EPSG:3768: HTRS96 / UTM zone 34N,18.0000,42.3000,19.5000,45.9300,252706.7255,4684175.1417,383705.5607,5090646.9971
EPSG:3769: Bermuda 1957 / UTM zone 20N,-64.9100,32.2200,-64.6300,32.4100,320004.0366,3565798.1906,346714.6712,3587298.4980
EPSG:3770: BDA2000 / Bermuda 2000 National Grid,-68.2300,28.8700,-61.3400,35.7700,210376.9553,-242206.5795,882787.1670,523761.2867
EPSG:3771: NAD27 / Alberta 3TM ref merid 111 W,-112.5000,49.0000,-110.0000,60.0000,-109682.6206,5429346.9599,73221.7652,6654132.1811
EPSG:3772: NAD27 / Alberta 3TM ref merid 114 W,-115.5000,49.0000,-112.5000,60.0000,-109674.0487,5429952.1157,109814.3616,6654134.9222
EPSG:3773: NAD27 / Alberta 3TM ref merid 117 W,-118.5000,49.0000,-115.5000,60.0000,-109665.0280,5429955.8168,109822.7939,6654137.8517
EPSG:3774: NAD27 / Alberta 3TM ref merid 120 W,-120.0000,49.0000,-118.5000,60.0000,82.8457,5428879.2927,109831.5414,6654141.1997
EPSG:3775: NAD83 / Alberta 3TM ref merid 111 W,-112.5000,49.0000,-110.0000,60.0000,-109744.9838,5429566.5562,73163.9637,6654356.1883
EPSG:3776: NAD83 / Alberta 3TM ref merid 114 W,-115.5000,49.0000,-112.5000,60.0000,-109744.9838,5430168.9696,109744.9838,6654356.1883
EPSG:3777: NAD83 / Alberta 3TM ref merid 117 W,-118.5000,49.0000,-115.5000,60.0000,-109744.9838,5430168.9696,109744.9838,6654356.1883
EPSG:3778: NAD83 / Alberta 3TM ref merid 120 W,-120.0000,49.0000,-118.5000,60.0000,0.0000,5429084.6694,109744.9838,6654356.1883
EPSG:3779: NAD83(CSRS) / Alberta 3TM ref merid 111 W,-112.5000,49.0000,-110.0000,60.0000,-109744.9838,5429566.5562,73163.9637,6654356.1883
EPSG:3780: NAD83(CSRS) / Alberta 3TM ref merid 114 W,-115.5000,49.0000,-112.5000,60.0000,-109744.9838,5430168.9696,109744.9838,6654356.1883
EPSG:3781: NAD83(CSRS) / Alberta 3TM ref merid 117 W,-118.5000,49.0000,-115.5000,60.0000,-109744.9838,5430168.9696,109744.9838,6654356.1883
EPSG:3782: NAD83(CSRS) / Alberta 3TM ref merid 120 W,-120.0000,49.0000,-118.5000,60.0000,0.0000,5429084.6694,109744.9838,6654356.1883
EPSG:3783: Pitcairn 2006 / Pitcairn TM 2006,-130.1800,-25.1600,-129.9900,-25.0000,7433.0228,5364.2969,26613.5471,23092.1327
EPSG:3784: Pitcairn 1967 / UTM zone 9S,-130.1800,-25.1600,-129.9900,-25.0000,380881.2635,7216773.0666,400186.1116,7234645.7186
EPSG:3785: Popular Visualisation CRS / Mercator,-180.0000,-85.0000,180.0000,85.0000,-20037508.3428,-19971868.8804,20037508.3428,19971868.8804
EPSG:3786: World Equidistant Cylindrical (Sphere),-180.0000,-90.0000,180.0000,90.0000,-20015108.7872,-10007554.3936,20015108.7872,10007554.3936
EPSG:3787: MGI / Slovene National Grid,13.3700,45.4400,16.6800,46.9100,372543.8943,34152.5582,631496.6208,197602.9212
EPSG:3788: NZGD2000 / Auckland Islands TM 2000,164.5000,-52.0000,167.5000,-47.0000,3385916.8940,4235593.7479,3614083.1060,4791660.7072
EPSG:3857: Pseudo-Mercator, -180.0, -85.06, 180.0, 85.06, -20026376.39, -20048966.10, 20026376.39, 20048966.10
EPSG:2442: Beijing 1954 / 3-degree Gauss-Kruger CM 135E,133.5000,45.8600,134.7700,48.3900,383510.7846,5080640.2146,482965.6531,5362975.0605
EPSG:2443: JGD2000 / Japan Plane Rectangular CS I,128.3000,26.9500,130.2200,34.7100,-119151.7544,-670387.2583,71489.0676,190309.4180
EPSG:2444: JGD2000 / Japan Plane Rectangular CS II,129.6400,30.9200,132.1500,34.0200,-129986.9073,-230053.3140,109914.0009,113954.6618
EPSG:2445: JGD2000 / Japan Plane Rectangular CS III,130.7500,33.6700,133.5300,36.3500,-131374.4354,-257624.7722,126428.2046,39764.7641
EPSG:2446: JGD2000 / Japan Plane Rectangular CS IV,131.9200,32.6500,134.8500,34.6000,-148229.3955,-38006.5255,126649.8737,178587.2094
EPSG:2447: JGD2000 / Japan Plane Rectangular CS V,133.1300,34.1100,135.4800,35.6700,-111018.1417,-209065.0000,105789.8730,-35944.6737
EPSG:2448: JGD2000 / Japan Plane Rectangular CS VI,134.8400,33.4000,137.0000,36.3000,-107906.0620,-287955.6846,93021.8190,33909.6201
EPSG:2449: JGD2000 / Japan Plane Rectangular CS VII,136.2500,34.5500,137.8500,37.5400,-84129.2330,-160642.9919,62714.0915,171276.7361
EPSG:2450: JGD2000 / Japan Plane Rectangular CS VIII,137.4700,34.0900,139.9300,38.6600,-95048.2707,-211398.0689,131962.6912,296157.9678
EPSG:2451: JGD2000 / Japan Plane Rectangular CS IX,138.9300,32.3300,140.8600,35.9200,-85044.6807,-406697.3730,96656.4509,-8388.7498
EPSG:2452: JGD2000 / Japan Plane Rectangular CS X,139.5000,37.7300,142.0800,41.6300,-117528.9477,-251242.5239,109889.2498,181852.7768
EPSG:2453: JGD2000 / Japan Plane Rectangular CS XI,139.3300,41.3300,141.2500,45.5000,-77009.7494,-296162.2520,83706.3341,167160.1244
EPSG:2454: JGD2000 / Japan Plane Rectangular CS XII,141.2500,41.8500,143.2500,45.5000,-83037.2186,-238338.8886,83037.2186,167160.1244
EPSG:2455: JGD2000 / Japan Plane Rectangular CS XIII,143.2500,41.8500,146.9800,44.3300,-83037.2186,-238338.8886,226699.8841,40290.4885
EPSG:2456: JGD2000 / Japan Plane Rectangular CS XIV,140.5000,23.5000,143.0000,28.0000,-153208.2504,-276540.1145,102134.3820,222491.8206
EPSG:2457: JGD2000 / Japan Plane Rectangular CS XV,126.0000,23.9000,130.0000,27.1000,-152741.8970,-231788.2464,254604.8025,124329.1159
EPSG:2458: JGD2000 / Japan Plane Rectangular CS XVI,122.4900,23.9000,126.0000,25.7800,-153760.3353,-231777.4057,203668.1030,-22847.3464
EPSG:2459: JGD2000 / Japan Plane Rectangular CS XVII,130.0000,23.9000,131.6700,26.2500,-101823.5601,-232436.8004,68220.4941,28080.3100
EPSG:2460: JGD2000 / Japan Plane Rectangular CS XVIII,134.0000,23.5000,140.5000,28.0000,-204290.1326,388928.4774,459913.3575,894162.0174
EPSG:2461: JGD2000 / Japan Plane Rectangular CS XIX,143.0000,23.5000,155.0000,28.0000,-1128193.3712,-276540.1145,102134.3820,270902.1161
EPSG:2462: Albanian 1987 / Gauss-Kruger zone 4,18.4500,39.6700,21.0600,42.6900,4281183.8888,4392968.0714,4505148.2966,4731519.8034
EPSG:2463: Pulkovo 1995 / Gauss-Kruger CM 21E,19.2000,54.3200,22.9000,55.3000,382874.9211,6023134.8290,623631.2865,6132380.8830
EPSG:2464: Pulkovo 1995 / Gauss-Kruger CM 27E,27.3400,55.7100,30.0000,69.4500,513325.1251,6176435.2555,688549.1855,7710639.4935
EPSG:2465: Pulkovo 1995 / Gauss-Kruger CM 33E,30.0000,50.4200,36.0000,70.0000,286807.0473,5591966.7260,713192.9527,7771933.7807
EPSG:2466: Pulkovo 1995 / Gauss-Kruger CM 39E,36.0000,43.2000,42.0000,69.1800,256160.7666,4789395.3081,743839.2334,7680550.6082
EPSG:2467: Pulkovo 1995 / Gauss-Kruger CM 45E,42.0000,41.1700,48.0000,68.0000,248224.3305,4563874.5849,751775.6695,7549059.2645
EPSG:2468: Pulkovo 1995 / Gauss-Kruger CM 51E,48.0000,41.4000,54.0000,73.3300,249107.7811,4589423.2746,750892.2189,8143099.9218
EPSG:2469: Pulkovo 1995 / Gauss-Kruger CM 57E,54.0000,50.5000,60.0000,76.0000,287166.6233,5600863.6047,712833.3767,8440765.3226
EPSG:2470: Pulkovo 1995 / Gauss-Kruger CM 63E,60.0000,50.6000,66.0000,76.6700,287616.6806,5611984.8288,712383.3194,8515468.2363
EPSG:2471: Pulkovo 1995 / Gauss-Kruger CM 69E,66.0000,54.0500,72.0000,77.0000,303533.0930,5995751.8106,696466.9070,8552263.2779
EPSG:2472: Pulkovo 1995 / Gauss-Kruger CM 75E,72.0000,53.2000,78.0000,73.0000,299542.7688,5901185.3486,700457.2312,8106313.5492
EPSG:2473: Pulkovo 1995 / Gauss-Kruger CM 81E,78.0000,50.5000,84.0000,74.0000,287166.6233,5600863.6047,712833.3767,8217790.0266
EPSG:2474: Pulkovo 1995 / Gauss-Kruger CM 87E,84.0000,49.1000,90.0000,76.0000,280934.9670,5445181.1719,719065.0330,8440765.3226
EPSG:2475: Pulkovo 1995 / Gauss-Kruger CM 93E,90.0000,50.0000,96.0000,76.0000,284926.1541,5545259.5812,715073.8459,8440765.3226
EPSG:2476: Pulkovo 1995 / Gauss-Kruger CM 99E,96.0000,49.7500,102.0000,77.0000,283812.0913,5517458.8823,716187.9087,8552263.2779
EPSG:2477: Pulkovo 1995 / Gauss-Kruger CM 105E,102.0000,49.7000,108.0000,77.0000,283589.7752,5511898.8477,716410.2248,8552263.2779
EPSG:2478: Pulkovo 1995 / Gauss-Kruger CM 111E,108.0000,49.1000,114.0000,76.5000,280934.9670,5445181.1719,719065.0330,8496513.4871
EPSG:2479: Pulkovo 1995 / Gauss-Kruger CM 117E,114.0000,49.4500,120.0000,75.0000,282480.6858,5484099.2012,717519.3142,8329274.0935
EPSG:2480: Pulkovo 1995 / Gauss-Kruger CM 123E,120.0000,51.4500,126.0000,74.0000,291468.3270,5706520.8595,708531.6730,8217790.0266
EPSG:2481: Pulkovo 1995 / Gauss-Kruger CM 129E,126.0000,42.2500,132.0000,73.5000,252407.8038,4683848.8104,747592.1962,8162050.8128
EPSG:2482: Pulkovo 1995 / Gauss-Kruger CM 135E,132.0000,42.6000,138.0000,76.0000,253782.5778,4722732.8771,746217.4222,8440765.3226
EPSG:2483: Pulkovo 1995 / Gauss-Kruger CM 141E,138.0000,45.8000,144.0000,76.0000,266773.1971,5078324.8348,733226.8029,8440765.3226
EPSG:2484: Pulkovo 1995 / Gauss-Kruger CM 147E,144.0000,44.3000,150.0000,76.0000,260590.3351,4911623.0134,739409.6649,8440765.3226
EPSG:2485: Pulkovo 1995 / Gauss-Kruger CM 153E,150.0000,45.7500,156.0000,72.0000,266564.4898,5072767.5926,733435.5102,7994845.0790
EPSG:2486: Pulkovo 1995 / Gauss-Kruger CM 159E,156.0000,50.3300,162.0000,71.0000,286403.0245,5581957.8444,713596.9755,7883385.0237
EPSG:2487: Pulkovo 1995 / Gauss-Kruger CM 165E,162.0000,55.3300,168.0000,70.0000,309623.9975,6138176.2047,690376.0025,7771933.7807
EPSG:2488: Pulkovo 1995 / Gauss-Kruger CM 171E,168.0000,59.8000,174.0000,71.0000,331625.8455,6635717.6592,668374.1545,7883385.0237
EPSG:2489: Pulkovo 1995 / Gauss-Kruger CM 177E,174.0000,61.7000,180.0000,71.5000,341299.0815,6847276.8402,658700.9185,7939113.9744
EPSG:2490: Pulkovo 1995 / Gauss-Kruger CM 177W,-180.0000,64.1500,-174.0000,71.5000,354031.1506,7120140.0701,645968.8494,7939113.9744
EPSG:2491: Pulkovo 1995 / Gauss-Kruger CM 171W,-174.0000,64.1500,-168.2500,67.2000,354031.1506,7119590.5849,633810.8351,7459920.4242
EPSG:2492: Pulkovo 1942 / Gauss-Kruger CM 9E,9.9300,50.2100,12.0000,54.1800,560722.2464,5564717.4069,714134.8471,6010215.7814
EPSG:2493: Pulkovo 1942 / Gauss-Kruger CM 15E,12.0000,47.7500,18.0000,54.8300,275050.4654,5295084.9489,724949.5346,6082539.0562
EPSG:2494: Pulkovo 1942 / Gauss-Kruger CM 21E,18.0000,47.7400,24.0000,59.2900,275007.3412,5293973.2211,724992.6588,6578938.2764
EPSG:2495: Pulkovo 1942 / Gauss-Kruger CM 27E,24.0000,45.2100,30.0000,69.4700,264321.8689,5012751.6394,735678.1311,7712868.3272
EPSG:2496: Pulkovo 1942 / Gauss-Kruger CM 33E,30.0000,44.3800,36.0000,69.9600,260915.9631,4920512.9707,739084.0369,7767475.9197
EPSG:2497: Pulkovo 1942 / Gauss-Kruger CM 39E,36.0000,41.4300,42.0000,69.1700,249223.3132,4592755.7673,750776.6868,7679436.2184
EPSG:2498: Pulkovo 1942 / Gauss-Kruger CM 45E,42.0000,38.8400,48.0000,80.8600,239506.4999,4305097.0021,760493.5001,8982700.2294
EPSG:2499: Pulkovo 1942 / Gauss-Kruger CM 51E,48.0000,37.0000,54.0000,84.0000,232926.5765,4100793.6156,767073.4235,9332899.0334
EPSG:2500: Pulkovo 1942 / Gauss-Kruger CM 57E,54.0000,36.6000,60.0000,84.0000,231532.4572,4056385.9635,768467.5428,9332899.0334
EPSG:2501: Pulkovo 1942 / Gauss-Kruger CM 63E,60.0000,34.9000,66.0000,84.0000,225754.5118,3867677.5198,774245.4882,9332899.0334
EPSG:2502: Pulkovo 1942 / Gauss-Kruger CM 69E,66.0000,36.4000,72.0000,84.0000,230840.3101,4034182.9514,769159.6899,9332899.0334
EPSG:2503: Pulkovo 1942 / Gauss-Kruger CM 75E,72.0000,36.4000,78.0000,84.0000,230840.3101,4034182.9514,769159.6899,9332899.0334
EPSG:2504: Pulkovo 1942 / Gauss-Kruger CM 81E,78.0000,40.7000,84.0000,84.0000,246431.6946,4511668.7041,753568.3054,9332899.0334
EPSG:2505: Pulkovo 1942 / Gauss-Kruger CM 87E,84.0000,46.7000,90.0000,84.0000,270560.3029,5178361.2631,729439.6971,9332899.0334
EPSG:2506: Pulkovo 1942 / Gauss-Kruger CM 93E,90.0000,50.0000,96.0000,76.0000,284926.1541,5545259.5812,715073.8459,8440765.3226
EPSG:2507: Pulkovo 1942 / Gauss-Kruger CM 99E,96.0000,49.7500,102.0000,77.0000,283812.0913,5517458.8823,716187.9087,8552263.2779
EPSG:2508: Pulkovo 1942 / Gauss-Kruger CM 105E,102.0000,49.7000,108.0000,77.0000,283589.7752,5511898.8477,716410.2248,8552263.2779
EPSG:2509: Pulkovo 1942 / Gauss-Kruger CM 111E,108.0000,49.1000,114.0000,76.5000,280934.9670,5445181.1719,719065.0330,8496513.4871
EPSG:2510: Pulkovo 1942 / Gauss-Kruger CM 117E,114.0000,49.4500,120.0000,75.0000,282480.6858,5484099.2012,717519.3142,8329274.0935
EPSG:2511: Pulkovo 1942 / Gauss-Kruger CM 123E,120.0000,51.4500,126.0000,74.0000,291468.3270,5706520.8595,708531.6730,8217790.0266
EPSG:2512: Pulkovo 1942 / Gauss-Kruger CM 129E,126.0000,42.2500,132.0000,73.5000,252407.8038,4683848.8104,747592.1962,8162050.8128
EPSG:2513: Pulkovo 1942 / Gauss-Kruger CM 135E,132.0000,42.6000,138.0000,76.0000,253782.5778,4722732.8771,746217.4222,8440765.3226
EPSG:2514: Pulkovo 1942 / Gauss-Kruger CM 141E,138.0000,45.8000,144.0000,76.0000,266773.1971,5078324.8348,733226.8029,8440765.3226
EPSG:2515: Pulkovo 1942 / Gauss-Kruger CM 147E,144.0000,44.3000,150.0000,76.0000,260590.3351,4911623.0134,739409.6649,8440765.3226
EPSG:2516: Pulkovo 1942 / Gauss-Kruger CM 153E,150.0000,45.7500,156.0000,72.0000,266564.4898,5072767.5926,733435.5102,7994845.0790
EPSG:2517: Pulkovo 1942 / Gauss-Kruger CM 159E,156.0000,50.3300,162.0000,71.0000,286403.0245,5581957.8444,713596.9755,7883385.0237
EPSG:2518: Pulkovo 1942 / Gauss-Kruger CM 165E,162.0000,55.3300,168.0000,70.0000,309623.9975,6138176.2047,690376.0025,7771933.7807
EPSG:2519: Pulkovo 1942 / Gauss-Kruger CM 171E,168.0000,59.8000,174.0000,71.0000,331625.8455,6635717.6592,668374.1545,7883385.0237
EPSG:2520: Pulkovo 1942 / Gauss-Kruger CM 177E,174.0000,61.7000,180.0000,71.5000,341299.0815,6847276.8402,658700.9185,7939113.9744
EPSG:2521: Pulkovo 1942 / Gauss-Kruger CM 177W,-180.0000,64.1500,-174.0000,71.5000,354031.1506,7120140.0701,645968.8494,7939113.9744
EPSG:2522: Pulkovo 1942 / Gauss-Kruger CM 171W,-174.0000,64.1500,-168.2500,67.2000,354031.1506,7119590.5849,633810.8351,7459920.4242
EPSG:2523: Pulkovo 1942 / 3-degree Gauss-Kruger zone 7,19.5000,48.2400,22.5000,55.2900,7388581.7051,5346295.9619,7611418.2949,6130647.8618
EPSG:2524: Pulkovo 1942 / 3-degree Gauss-Kruger zone 8,22.5000,47.7100,25.5000,55.0600,8387435.3936,5287366.4111,8612564.6064,6105045.3229
EPSG:2525: Pulkovo 1942 / 3-degree Gauss-Kruger zone 9,25.5000,45.2600,28.5000,70.0000,9382263.9986,5015022.5337,9617736.0014,7769820.2063
EPSG:2526: Pulkovo 1942 / 3-degree Gauss-Kruger zone 10,28.5000,45.2100,31.5000,70.0000,10382160.6844,5009465.6326,10617839.3156,7769820.2063
EPSG:2527: Pulkovo 1942 / 3-degree Gauss-Kruger zone 11,31.5000,44.3800,34.5000,71.0000,11380458.9191,4917227.7226,11619541.0809,7881360.6072
EPSG:2528: Pulkovo 1942 / 3-degree Gauss-Kruger zone 12,34.5000,44.6700,37.5000,71.0000,12381050.6614,4949454.0007,12618949.3386,7881360.6072
EPSG:2529: Pulkovo 1942 / 3-degree Gauss-Kruger zone 13,37.5000,43.1300,40.5000,70.0000,13377943.7490,4778338.8585,13622056.2510,7769820.2063
EPSG:2530: Pulkovo 1942 / 3-degree Gauss-Kruger zone 14,40.5000,41.0200,43.5000,69.0000,14373831.2422,4543958.7485,14626168.7578,7658291.5838
EPSG:2531: Pulkovo 1942 / 3-degree Gauss-Kruger zone 15,43.5000,38.8400,46.5000,70.0000,15369762.8656,4301887.1571,15630237.1344,7769820.2063
EPSG:2532: Pulkovo 1942 / 3-degree Gauss-Kruger zone 16,46.5000,38.3100,49.5000,70.0000,16368802.1405,4243047.6899,16631197.8595,7769820.2063
EPSG:2533: Pulkovo 1942 / 3-degree Gauss-Kruger zone 17,49.5000,38.2600,52.5000,74.0000,17368712.0863,4237497.0534,17631287.9137,8216047.4610
EPSG:2534: Pulkovo 1942 / 3-degree Gauss-Kruger zone 18,52.5000,37.1000,55.5000,82.0000,18366651.1244,4108734.6459,18633348.8756,9108931.6430
EPSG:2535: Pulkovo 1942 / 3-degree Gauss-Kruger zone 19,55.5000,37.2000,58.5000,82.0000,19366826.6463,4119833.9234,19633173.3537,9108931.6430
EPSG:2536: Pulkovo 1942 / 3-degree Gauss-Kruger zone 20,58.5000,35.4000,61.5000,82.0000,20363729.9966,3920073.5170,20636270.0034,9108931.6430
EPSG:2537: Pulkovo 1942 / 3-degree Gauss-Kruger zone 21,61.5000,34.9000,64.5000,82.0000,21362893.6095,3864594.4239,21637106.3905,9108931.6430
EPSG:2538: Pulkovo 1942 / 3-degree Gauss-Kruger zone 22,64.5000,36.5000,67.5000,82.0000,22365606.5660,4042142.6451,22634393.4340,9108931.6430
EPSG:2539: Pulkovo 1942 / 3-degree Gauss-Kruger zone 23,67.5000,36.7000,70.5000,78.0000,23365953.1159,4064339.2821,23634046.8841,8662429.9456
EPSG:2540: Pulkovo 1942 / 3-degree Gauss-Kruger zone 24,70.5000,36.5000,73.5000,74.0000,24365606.5660,4042142.6451,24634393.4340,8216047.4610
EPSG:2541: Pulkovo 1942 / 3-degree Gauss-Kruger zone 25,73.5000,36.4000,76.5000,74.0000,25365433.9064,4031044.5873,25634566.0936,8216047.4610
EPSG:2542: Pulkovo 1942 / 3-degree Gauss-Kruger zone 26,76.5000,40.1000,79.5000,74.0000,26372091.6014,4441789.7211,26627908.3986,8216047.4610
EPSG:2543: Pulkovo 1942 / 3-degree Gauss-Kruger zone 27,79.5000,41.5000,82.5000,74.0000,27374751.8801,4597270.3740,27625248.1199,8216047.4610
EPSG:2544: Pulkovo 1942 / 3-degree Gauss-Kruger zone 28,82.5000,44.8000,85.5000,75.0000,28381316.9213,4963900.7603,28618683.0787,8327629.8888
EPSG:2545: Pulkovo 1942 / 3-degree Gauss-Kruger zone 29,85.5000,46.9000,88.5000,76.0000,29385702.2627,5197314.1136,29614297.7373,8439221.4863
EPSG:2546: Pulkovo 1942 / 3-degree Gauss-Kruger zone 30,88.5000,49.4500,91.5000,76.0000,30391234.6007,5480852.2815,30608765.3993,8439221.4863
EPSG:2547: Pulkovo 1942 / 3-degree Gauss-Kruger zone 31,91.5000,50.0500,94.5000,81.0000,31392568.2965,5547584.2122,31607431.7035,8997297.1084
EPSG:2548: Pulkovo 1942 / 3-degree Gauss-Kruger zone 32,94.5000,49.7500,97.5000,82.0000,32391899.9545,5514217.4377,32608100.0455,9108931.6430
EPSG:2549: Pulkovo 1942 / 3-degree Gauss-Kruger zone 33,97.5000,49.8000,100.5000,82.0000,33392011.1378,5519778.4545,33607988.8622,9108931.6430
EPSG:2550: Samboja / UTM zone 50S,116.9000,-1.3500,118.0000,0.0000,488823.0522,9850714.5459,611232.2587,9999954.5477
EPSG:2551: Pulkovo 1942 / 3-degree Gauss-Kruger zone 34,100.5000,50.2000,103.5000,80.0000,34392903.5824,5564268.2055,34607096.4176,8885668.2453
EPSG:2552: Pulkovo 1942 / 3-degree Gauss-Kruger zone 35,103.5000,50.1000,106.5000,80.0000,35392679.9761,5553145.4985,35607320.0239,8885668.2453
EPSG:2553: Pulkovo 1942 / 3-degree Gauss-Kruger zone 36,106.5000,49.2500,109.5000,79.0000,36390792.7005,5458609.7444,36609207.2995,8774045.6586
EPSG:2554: Pulkovo 1942 / 3-degree Gauss-Kruger zone 37,109.5000,49.1000,112.5000,78.0000,37390462.1553,5441928.3147,37609537.8447,8662429.9456
EPSG:2555: Pulkovo 1942 / 3-degree Gauss-Kruger zone 38,112.5000,49.5000,115.5000,77.0000,38391345.2847,5486413.0284,38608654.7153,8550821.6951
EPSG:2556: Pulkovo 1942 / 3-degree Gauss-Kruger zone 39,115.5000,49.4500,118.5000,75.0000,39391234.6007,5480852.2815,39608765.3993,8327629.8888
EPSG:2557: Pulkovo 1942 / 3-degree Gauss-Kruger zone 40,118.5000,49.8500,121.5000,75.0000,40392122.4040,5525339.5162,40607877.5960,8327629.8888
EPSG:2558: Pulkovo 1942 / 3-degree Gauss-Kruger zone 41,121.5000,53.2000,124.5000,74.0000,41399761.6968,5898032.2447,41600238.3032,8216047.4610
EPSG:2559: Pulkovo 1942 / 3-degree Gauss-Kruger zone 42,124.5000,50.0000,127.5000,74.0000,42392456.6994,5542022.9709,42607543.3006,8216047.4610
EPSG:2560: Pulkovo 1942 / 3-degree Gauss-Kruger zone 43,127.5000,48.8300,130.5000,74.0000,43389869.0827,5411902.7645,43610130.9173,8216047.4610
EPSG:2561: Pulkovo 1942 / 3-degree Gauss-Kruger zone 44,130.5000,42.2500,133.5000,74.0000,44376208.0334,4680578.1180,44623791.9666,8216047.4610
EPSG:2562: Pulkovo 1942 / 3-degree Gauss-Kruger zone 45,133.5000,42.6000,136.5000,78.0000,45376894.8820,4719458.5490,45623105.1180,8662429.9456
EPSG:2563: Pulkovo 1942 / 3-degree Gauss-Kruger zone 46,136.5000,44.6000,139.5000,78.0000,46380907.5458,4941675.1038,46619092.4542,8662429.9456
EPSG:2564: Pulkovo 1942 / 3-degree Gauss-Kruger zone 47,139.5000,45.8000,142.5000,76.0000,47383385.5252,5075039.9659,47616614.4748,8439221.4863
EPSG:2565: Pulkovo 1942 / 3-degree Gauss-Kruger zone 48,142.5000,45.9000,145.5000,76.0000,48383594.3624,5086154.8877,48616405.6376,8439221.4863
EPSG:2566: Pulkovo 1942 / 3-degree Gauss-Kruger zone 49,145.5000,44.3000,148.5000,76.0000,49380296.2213,4908337.9841,49619703.7787,8439221.4863
EPSG:2567: Pulkovo 1942 / 3-degree Gauss-Kruger zone 50,148.5000,44.9000,151.5000,76.0000,50381522.1550,4975013.8616,50618477.8450,8439221.4863
EPSG:2568: Pulkovo 1942 / 3-degree Gauss-Kruger zone 51,151.5000,45.7500,154.5000,72.0000,51383281.2406,5069482.5732,51616718.7594,7992912.2914
EPSG:2569: Pulkovo 1942 / 3-degree Gauss-Kruger zone 52,154.5000,48.9000,157.5000,72.0000,52390022.6061,5419687.0401,52609977.3939,7992912.2914
EPSG:2570: Pulkovo 1942 / 3-degree Gauss-Kruger zone 53,157.5000,51.3300,160.5000,72.0000,53395453.0368,5689967.2308,53604546.9632,7992912.2914
EPSG:2571: Pulkovo 1942 / 3-degree Gauss-Kruger zone 54,160.5000,54.3300,163.5000,72.0000,54402417.8778,6023791.1105,54597582.1222,7992912.2914
EPSG:2572: Pulkovo 1942 / 3-degree Gauss-Kruger zone 55,163.5000,58.5000,166.5000,70.0000,55412543.5873,6488063.3445,55587456.4127,7769820.2063
EPSG:2573: Pulkovo 1942 / 3-degree Gauss-Kruger zone 56,166.5000,59.8000,169.5000,70.0000,56415798.6690,6632859.2800,56584201.3310,7769820.2063
EPSG:2574: Pulkovo 1942 / 3-degree Gauss-Kruger zone 57,169.5000,59.8000,172.5000,71.0000,57415798.6690,6632859.2800,57584201.3310,7881360.6072
EPSG:2575: Pulkovo 1942 / 3-degree Gauss-Kruger zone 58,172.5000,60.0000,175.5000,71.0000,58416303.3881,6655137.9791,58583696.6119,7881360.6072
EPSG:2576: Pulkovo 1942 / 3-degree Gauss-Kruger zone 59,175.5000,60.0000,178.5000,71.5000,59416303.3881,6655137.9791,59583696.6119,7937135.0704
EPSG:2577: Pulkovo 1942 / 3-degree Gauss-Kruger zone 60,-178.5000,60.0000,178.5000,71.5000,59916303.3881,6655137.9791,60083696.6119,7937135.0704
EPSG:2578: Pulkovo 1942 / 3-degree Gauss-Kruger zone 61,-178.5000,60.0000,-175.5000,71.5000,61416303.3881,6655137.9791,61583696.6119,7937135.0704
EPSG:2579: Pulkovo 1942 / 3-degree Gauss-Kruger zone 62,-175.5000,60.0000,-172.5000,71.5000,62416303.3881,6655137.9791,62583696.6119,7937135.0704
EPSG:2580: Pulkovo 1942 / 3-degree Gauss-Kruger zone 63,-172.5000,60.0000,-169.5000,71.0000,63416303.3881,6655137.9791,63583696.6119,7881360.6072
EPSG:2581: Pulkovo 1942 / 3-degree Gauss-Kruger zone 64,-169.5000,60.0000,-166.5000,67.0000,64416303.3881,6655137.9791,64583696.6119,7435271.5797
EPSG:2582: Pulkovo 1942 / 3-degree Gauss-Kruger CM 21E,19.5000,48.2400,22.5000,55.2900,388581.7051,5346295.9619,611418.2949,6130647.8618
EPSG:2583: Pulkovo 1942 / 3-degree Gauss-Kruger CM 24E,22.5000,47.7100,25.5000,55.0600,387435.3936,5287366.4111,612564.6064,6105045.3229
EPSG:2584: Pulkovo 1942 / 3-degree Gauss-Kruger CM 27E,25.5000,45.2600,28.5000,70.0000,382263.9986,5015022.5337,617736.0014,7769820.2063
